"tweetid","name","inreplyuserid","createdat","timezone","friendscount","accountcreated","location","userid","xcoordinate","message","screenname","favoritecount","followerscount","inreplytweetid","retweetcount","utcoffset","ycoordinate","dataagent","place","inreplyscreenname","category","annotation"
1383427416081588227,"Bajrang Kumar Kushwaha",-1,"2021-04-17 14:29:33","None",897,"Tue Jun 16 13:56:20 +0000 2020","Jharkhand, India",1272890697377632264,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","BajrangKumarKu3",0,504,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427397819637765,"SeniorLovingChrist - #UnseatPelosi",-1,"2021-04-17 14:29:29","None",1,"Thu Mar 09 00:01:20 +0000 2017","Arizona, USA",839627124050841601,"None","RT @ProfMaskoff: @photobyluke @grose_lord @KrystynaWisson What is Bill Gates talking about?  Vaccines shouldn’t be injected into veins.  I…","CatholicLady10",0,3637,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427396104122370,"Julie Carey 🇬🇧🇬🇧",-1,"2021-04-17 14:29:28","None",310,"Fri Nov 05 16:32:29 +0000 2010","uk",212273141,"None","RT @CelestineBee: 9/11 was an inside job Man did not land on the moon  Evolution theory is BS  Vaccines are not safe  Taxation IS theft All…","Julie34479",0,1701,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427396104122370,"Julie Carey 🇬🇧🇬🇧",-1,"2021-04-17 14:29:28","None",310,"Fri Nov 05 16:32:29 +0000 2010","uk",212273141,"None","RT @CelestineBee: 9/11 was an inside job Man did not land on the moon  Evolution theory is BS  Vaccines are not safe  Taxation IS theft All…","Julie34479",0,1701,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427392773918740,"Writing for children",-1,"2021-04-17 14:29:27","None",288,"Sun Feb 22 11:56:05 +0000 2009","England, United Kingdom",21560880,"None","RT @JamesMelville: Vaccine passports are psychological coercion to give people social freedoms while taking away personal health freedoms.…","Preciosa36",0,175,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427387644276738,"RaveyDavey 🇬🇧🦊🏴󠁧󠁢󠁥󠁮󠁧󠁿🇺🇲",-1,"2021-04-17 14:29:26","None",1440,"Mon Apr 25 15:26:49 +0000 2016","England, United Kingdom",724620686921183232,"None","RT @JamesMelville: Vaccine passports are psychological coercion to give people social freedoms while taking away personal health freedoms.…","DaveyRaveyWavey",0,1520,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427381063421964,"DRE",48667895,"2021-04-17 14:29:25","None",1151,"Fri Apr 27 13:06:20 +0000 2012","Ireland",564587861,"None","@Toibin1 VAERS [Vaccine Adverse Events Reporting System]?","DERMOTRE",0,420,1383357062336315392,0,"None","None","JS Listener","None","Toibin1","vaccine ",-1
1383427376298614786,"Rafat Khan",-1,"2021-04-17 14:29:24","None",320,"Sat Apr 11 11:39:30 +0000 2015","Mumbai, India",3149700691,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","_rafatkhan",0,89,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427372104388612,"CAMELOT CASTLE TV NETWORK - FREEDOM IS THE GRAIL",-1,"2021-04-17 14:29:23","None",4346,"Thu Dec 29 18:31:09 +0000 2011","England, United Kingdom",449974837,"None","RT @ShannonJoyRadio: As vaccine trials on BABIES ramp up ... expect to see more reports of dead children post COVID vaccine on VAERS.   We…","JohnMappin",0,156541,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427372104388612,"CAMELOT CASTLE TV NETWORK - FREEDOM IS THE GRAIL",-1,"2021-04-17 14:29:23","None",4346,"Thu Dec 29 18:31:09 +0000 2011","England, United Kingdom",449974837,"None","RT @ShannonJoyRadio: As vaccine trials on BABIES ramp up ... expect to see more reports of dead children post COVID vaccine on VAERS.   We…","JohnMappin",0,156541,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427368337903634,"Shakir Husain 🏹🚜",-1,"2021-04-17 14:29:22","None",196,"Tue Aug 25 17:24:42 +0000 2009","Jalgaon, India",68750846,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","Iamshakirhusen",0,83,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427370292371466,"AndyInLondon #KBF 🏴󠁧󠁢󠁥󠁮󠁧󠁿 🇬🇧🏳️‍🌈😃",2296880117,"2021-04-17 14:29:22","None",29,"Tue Jul 02 12:36:44 +0000 2019","London",1146034970630246400,"None","@Out_Of_Phase_ Can someone explain to me why $q$even one Covid death is too many$q$ but vaccine side effects are acceptable collateral damage?","AndyInLondon1",0,127,1383425383198990336,0,"None","None","JS Listener","None","Out_Of_Phase_","vaccine ",-1
1383427362625261574,"amit everywhere",-1,"2021-04-17 14:29:20","None",148,"Thu Feb 25 06:09:06 +0000 2021","None",1364819619886731274,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","EverywhereAmit",0,144,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427347982872586,"Shrivats Chandra",-1,"2021-04-17 14:29:17","None",335,"Mon Nov 09 18:40:02 +0000 2009","None",88728590,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","shrivatsc",0,120,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427348591087622,"Yash Watti",-1,"2021-04-17 14:29:17","None",110,"Sat Sep 26 14:36:58 +0000 2020","None",1309864338140794881,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","WattiYash",0,48,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427348540715014,"Sangeet Kumar",-1,"2021-04-17 14:29:17","None",3712,"Wed Feb 05 09:12:42 +0000 2020","None",1224984055273275397,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","Sangeet83538781",0,2327,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427344388411392,"Don",-1,"2021-04-17 14:29:16","None",651,"Tue Apr 21 02:43:48 +0000 2009","Ontario,Canada",33780708,"None","» 847 Deaths 626,087 Injuries Recorded in the UK During 4 Months of Experimental COVID “Vaccines” - Vaccine Impact https://t.co/O1TJJDoyRW","poorcanuck",0,204,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427340617719811,"Judy Martin 🇨🇦",160194497,"2021-04-17 14:29:15","None",183,"Thu Jan 07 00:48:14 +0000 2016","Mississauga, Ontario",4721039293,"None","@RubyMcrae I was exactly the same. Way less side effects than any other vaccine I’ve ever had.","kushogqueen",0,113,1383418523356057603,0,"None","None","JS Listener","None","RubyMcrae","vaccine ",-1
1383427330765299736,"Arunoday Vishvakarma",-1,"2021-04-17 14:29:13","None",1793,"Wed Jul 04 09:38:57 +0000 2018","India",1014443437507014656,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","Vishvakarma09",0,30156,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427332275200013,"Raju Rajpal Patwal",-1,"2021-04-17 14:29:13","None",802,"Thu Apr 20 03:11:16 +0000 2017","New Delhi, India",854895211394281472,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","patwal_raju",0,1385,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427328911446028,"Prashant Polampally",-1,"2021-04-17 14:29:12","None",363,"Sun Feb 10 15:51:55 +0000 2019","Chino, CA",1094625016090689536,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","PrashantPolamp1",0,167,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427322238308355,"American",266816841,"2021-04-17 14:29:11","None",4352,"Sun Jan 03 14:07:10 +0000 2021","Denver, CO",1345733381208776714,"None","@tweettruth2me In my gut I think there is something like this present in the $q$vaccine$q$ being forced worldwide. https://t.co/P0NUZIJrrb","mikomerro",0,2000,1383423785496317956,0,"None","None","JS Listener","None","tweettruth2me","vaccine ",-1
1383427324557725696,"Neeraj Singh",-1,"2021-04-17 14:29:11","None",26,"Thu Feb 14 13:22:07 +0000 2019","Jammu, Jammu And Kashmir",1096036868792168448,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","Neeraj1494",0,13,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427304752250882,"Shamoon Khan",-1,"2021-04-17 14:29:06","None",523,"Tue Feb 11 12:28:39 +0000 2020","None",1227207744425345025,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","samykazam89",0,165,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427295067602947,"Abhishek",-1,"2021-04-17 14:29:04","None",944,"Thu Aug 27 04:01:50 +0000 2015","None",3355548973,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","abhishe24973251",0,30,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427284816695300,"Palash mondal نور قطب علام",-1,"2021-04-17 14:29:02","None",895,"Thu Apr 20 04:18:50 +0000 2017","Maharashtra, India",854912217053003776,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","Palashmondil1",0,263,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427287412985857,"Sainath Pawale",-1,"2021-04-17 14:29:02","None",447,"Sat Aug 27 03:28:53 +0000 2016","Pune, India",769376108693159936,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","iam_saip9",0,264,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427282484617216,"Ajay Kumar Lallu",-1,"2021-04-17 14:29:01","None",533,"Fri Oct 17 11:48:19 +0000 2014","Tamkuhi/Lucknow",2860160384,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","AjayLalluINC",0,125943,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427283369619457,"Abhishek Mahananda ଅଭିଷେକ ମହାନନ୍ଦ",-1,"2021-04-17 14:29:01","None",522,"Wed Aug 28 05:45:29 +0000 2013","Bhubaneswar, Orissa",1706396460,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","MahanandaINC",0,3450,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427272422563849,"Anurag Garg 🤚",-1,"2021-04-17 14:28:59","None",129,"Fri Dec 16 09:49:12 +0000 2011","None",438215087,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","AnuragGargINC",0,1669,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427274456719362,"VitaminSea",-1,"2021-04-17 14:28:59","None",3495,"Fri Jul 29 20:14:03 +0000 2011","None",344927839,"None","RT @CelestineBee: 9/11 was an inside job Man did not land on the moon  Evolution theory is BS  Vaccines are not safe  Taxation IS theft All…","MummySmiler",0,5663,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427274456719362,"VitaminSea",-1,"2021-04-17 14:28:59","None",3495,"Fri Jul 29 20:14:03 +0000 2011","None",344927839,"None","RT @CelestineBee: 9/11 was an inside job Man did not land on the moon  Evolution theory is BS  Vaccines are not safe  Taxation IS theft All…","MummySmiler",0,5663,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427266454069255,"Praveen Verma",-1,"2021-04-17 14:28:57","None",296,"Thu Mar 05 11:31:35 +0000 2009","Buffalo Grove, IL, USA",22908792,"None","Why did we ban #JohnsonandJohnson vaccine after blood clots in six people? Vaccines don$q$t kill people, people do. #VaccineVsGuns #Nonsense","praveenkvma",0,436,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427267112493056,"Mean Wee Old Woman Deb",-1,"2021-04-17 14:28:57","None",1179,"Wed Jan 29 00:57:49 +0000 2014","None",2310892912,"None","So much for forced vaccine &amp; Vaccine passports in NY/NYC. Seems like consumers don’t care if they’re allowed to shop, eat out by govt permission. How many have natural immunity, had mild case w antibodies","mddebm",0,1100,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427261857099781,"1973 🌸",-1,"2021-04-17 14:28:56","None",916,"Fri Apr 10 18:33:14 +0000 2009","None",30279506,"None","RT @prisoner1968: AstraZeneca are forbidden to mention adverse vaccine effects on social media. https://t.co/MQasNLOZOr","DreamJeanie73",0,1770,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383425192265805827,"Shifa Rahmat",-1,"2021-04-17 14:20:43","None",273,"Tue Jan 14 18:48:51 +0000 2020","INDIA ❤",1217156280940294144,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","shifa_rahmat",0,242,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383425174804987908,"Farhan Fk",-1,"2021-04-17 14:20:39","None",419,"Fri Sep 04 10:04:10 +0000 2020","tanodia agar malwa ",1301823292035137538,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","FarhanF47265452",0,370,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383425178059698185,"Lajan / لاجن / लाजन",-1,"2021-04-17 14:20:39","None",2404,"Sun Jun 20 10:56:10 +0000 2010","Mumbai",157625378,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","DilawarTalkies",0,2338,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383425172078620674,"Learn Biz Stuff 😊",-1,"2021-04-17 14:20:38","None",2189,"Wed Jan 23 03:06:16 +0000 2013","Canada",1113297241,"None","RT @DonaldWelsh16: The irony here is that vaccine induced immunosuppression shows the public that your body$q$s natural immunity is quite eff…","learn_biz_stuff",0,1594,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383425172917477376,"Trinity #freeAssange",-1,"2021-04-17 14:20:38","None",165,"Fri Nov 06 13:34:16 +0000 2020","None",1324706614788673537,"None","RT @JamesMelville: Vaccine passports are psychological coercion to give people social freedoms while taking away personal health freedoms.…","TrinityliebtNeo",0,18,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383425172854607872,"🦂",-1,"2021-04-17 14:20:38","None",18,"Fri Nov 20 10:51:01 +0000 2020","Scorpion$q$s Lair",1329738966308843521,"None","RT @rakeshsharma767: @ANI Why sudden love for vaccine.. congress had questioned vaccine more than anyone else.. https://t.co/pW74Pc28tF","ComeOverHereTM",0,54,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383425160988946434,"shyam",-1,"2021-04-17 14:20:35","None",440,"Thu Jul 23 16:55:59 +0000 2015","United States",3289090039,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","shyam_r2019",0,67,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383425156144529413,"Simran Dhanesar",-1,"2021-04-17 14:20:34","None",65,"Wed Feb 03 16:50:51 +0000 2021","None",1357008420998504448,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","DhanesarSimran",0,17,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383425153695027208,"Aditi",-1,"2021-04-17 14:20:34","None",357,"Sun May 09 16:20:38 +0000 2010","Bangalore",141988713,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","adititanya",0,427,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383425143477702660,"V. Gupta",-1,"2021-04-17 14:20:31","None",139,"Wed Aug 28 23:44:51 +0000 2019","None",1166859059682660352,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","VGupta89887569",0,62,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383425137014312974,"Andromeda beyond",-1,"2021-04-17 14:20:30","None",99,"Mon Feb 06 12:12:13 +0000 2012","Marooned on a prison planet",484714711,"None","RT @JamesMelville: Vaccine passports are psychological coercion to give people social freedoms while taking away personal health freedoms.…","Andromedabeyond",0,213,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383425123898695681,"Garcia Virginie",-1,"2021-04-17 14:20:26","None",195,"Tue Sep 24 17:04:30 +0000 2019","None",1176542864655953925,"None","RT @JamesMelville: Vaccine passports are psychological coercion to give people social freedoms while taking away personal health freedoms.…","GarciaVirginie9",0,279,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383425117133283328,"ABHISHEK KUMAR",-1,"2021-04-17 14:20:25","None",586,"Sat Nov 05 19:12:26 +0000 2011","None",405758979,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","abhi3031997",0,225,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383425110275629059,"आशीष मिश्रा🏹🚜",-1,"2021-04-17 14:20:23","None",1671,"Sun Sep 16 15:24:10 +0000 2012","India",827273082,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","mishra358",0,801,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383425099068411906,"విజయ సాగర్ తలశిల🇮🇳",-1,"2021-04-17 14:20:21","None",2803,"Mon Jun 15 05:53:28 +0000 2009","None",47271630,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","talasilavsagar",0,777,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383425095159353350,"Javed Ali Abbasi",-1,"2021-04-17 14:20:20","None",985,"Mon Oct 16 10:19:24 +0000 2017","Àmroha Up New Delhi, India",919870383817445376,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","JavedAb68287108",0,100,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383425083755012116,"Kumar Anand",-1,"2021-04-17 14:20:17","None",278,"Mon Aug 24 19:53:53 +0000 2015","None",3329605002,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","anandbumra",0,74,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383425076779839498,"Vamsidhar Reddy",-1,"2021-04-17 14:20:15","None",770,"Wed Sep 18 10:43:21 +0000 2013","None",1878964854,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","balayyafan_nlr",0,1197,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383425064964550659,"Shraddha",-1,"2021-04-17 14:20:12","None",46,"Sun Sep 13 11:01:59 +0000 2020","None",1305099122874048515,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","Shraddh12008695",0,9,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383425051974725646,"Peter Bucksey",-1,"2021-04-17 14:20:09","None",183,"Mon Aug 06 15:04:26 +0000 2012","The North West.",740803826,"None","RT @prisoner1968: AstraZeneca are forbidden to mention adverse vaccine effects on social media. https://t.co/MQasNLOZOr","peter_bucksey",0,630,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383425044592742407,"anoop azad",-1,"2021-04-17 14:20:08","None",695,"Wed Sep 09 02:31:32 +0000 2009","Abu Dhabi, United Arab Emirates",72741462,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","anoopazad",0,496,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383425041723846672,"Satish Kolkunda",-1,"2021-04-17 14:20:07","None",1927,"Sat Jan 23 03:15:25 +0000 2010","Toronto, Canada ",107601171,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","satishkolkunda",0,1934,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383425032748036104,"Joel Savage: Journalist / Author",-1,"2021-04-17 14:20:05","None",5626,"Fri Jul 22 14:13:15 +0000 2011","Antwerp, #Brussels-Belgium.",340316983,"None","RT @theflowernurse: FORMER NYT WRITER: US $q$VACCINE ADVERSE EVENTS REPORTING SYSTEM OVERWHELMED &amp; HARDLY FUNCTIONING$q$  https://t.co/ZRBYOSlZ…","JOELSAVAGE1",0,6094,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383425028205662225,"Wendy #savehumanity#unmask🌸",-1,"2021-04-17 14:20:04","None",1924,"Mon Sep 30 12:54:05 +0000 2019","North West, England",1178654157286383618,"None","The nurse whistleblower on @ukcolumn said that many doctors administering the jabs in the U.K. didn’t know they are ongoing trials. There were many that did who weren’t notifying the vaccine recipients of this fact. Little wonder people don’t know.","wendywoo6089",0,11787,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383425028205662225,"Wendy #savehumanity#unmask🌸",-1,"2021-04-17 14:20:04","None",1924,"Mon Sep 30 12:54:05 +0000 2019","North West, England",1178654157286383618,"None","The nurse whistleblower on @ukcolumn said that many doctors administering the jabs in the U.K. didn’t know they are ongoing trials. There were many that did who weren’t notifying the vaccine recipients of this fact. Little wonder people don’t know.","wendywoo6089",0,11787,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383425028851519494,"MANISH TIWARI-मनीष तिवारी 🇮🇳",-1,"2021-04-17 14:20:04","None",236,"Fri May 29 05:56:43 +0000 2015","India",3229469990,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","ManishTiwari051",0,1247,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383425024938242052,"⚡️Geo🌸 #KBF 🌸 🕊🐾☘️⚓️⛵️🆓",-1,"2021-04-17 14:20:03","None",490,"Mon Mar 29 08:53:23 +0000 2021","Somewhere private to me",1376457365969645571,"None","RT @DollarVigilante: Nazi Medical Experiments, Woke Hitler, Toxic Maskulinity and Vaccination Insanity.  #COVID19 #Freedom #Liberty   https…","GeoMex1982",0,130,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383425012258861070,"Jawwad Ali Khan🇮🇳",-1,"2021-04-17 14:20:00","None",2625,"Fri May 24 10:45:55 +0000 2019","India 🇮🇳",1131873959685677056,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","JawwadAliKhan8",0,1176,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383425005099253767,"INC Syed",-1,"2021-04-17 14:19:58","None",865,"Thu Jul 04 05:02:09 +0000 2019","Begusarai, India",1146645346824572928,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","ghayasU59473086",0,758,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
