"tweetid","name","inreplyuserid","createdat","timezone","friendscount","accountcreated","location","userid","xcoordinate","message","screenname","favoritecount","followerscount","inreplytweetid","retweetcount","utcoffset","ycoordinate","dataagent","place","inreplyscreenname","category","annotation"
1383427433085292547,"Geralt of Trivia",-1,"2021-04-17 14:29:37","None",437,"Tue Apr 24 11:09:20 +0000 2007","Chennai, India",5461062,"None","RT @Schandillia: Moderna/Pfizer: Want vaccines, India? India: Not without bridge study. M/P: Umm...suit yourself.  Few months later...  Ind…","sumants",0,3398,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427434012241923,"Cassandra L",3953143340,"2021-04-17 14:29:37","None",1104,"Thu Sep 04 20:02:48 +0000 2014","Las Vegas, NV",2790503366,"None","@ocxg1958 Wow! Please thank your wife for me. ❤️ Because without her we wouldn’t be where we are right now with this vaccine. ❤️🤟🏼❤️ #TrueAmericanHero","CLuehsenhop",0,222,1383425758949900300,0,"None","None","JS Listener","None","ocxg1958","vaccine ",1
1383427434649853953,"Lance R. Burgess",-1,"2021-04-17 14:29:37","None",1285,"Sat Aug 21 20:31:28 +0000 2010","None",181291213,"None","RT @Amy_Siskind: Imagine the good he could have done, if Trump and his family had been vaccinated in public, rather than selfishly hiding i…","NightShayd005",0,556,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427434914013187,"Richard",-1,"2021-04-17 14:29:37","None",506,"Mon Jan 25 18:06:33 +0000 2021","None",1353766169971404800,"None","RT @FreedomIsrael_: Is there a link between #COVID vaccinations and new cases? https://t.co/gk75YaFa2X","RicFreeSpeech",0,141,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427427561443328,"Perry Bilzerian",-1,"2021-04-17 14:29:36","None",288,"Wed Jun 23 03:46:40 +0000 2010","Makati Philippines",158603936,"None","One of my childhood friends who is also my neighbor tested positive. The weird thing is, she got the covid vaccine same time as i did last week....","bamawa1022",0,222,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427427574050816,"Susan🌺🧜‍♀️⛵🗺️✈️",-1,"2021-04-17 14:29:36","None",2177,"Mon Jul 25 23:06:28 +0000 2011","United States",342389968,"None","RT @lerdody: INBOX: No appointment needed at the IMS this weekend to get the COVID-19 vaccine. The (free) Moderna vaccine will be available…","psychmesu",0,699,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427428446441486,"อยากเกิดเปงหมาาา 7824",-1,"2021-04-17 14:29:36","None",133,"Sun Feb 26 10:16:14 +0000 2012","None",504304999,"None","RT @bongtao: ไอเดียเรื่อง vaccine tourism คือไปเที่ยวต่างประเทศแล้วได้ฉีดวัคซีนไปด้วยในตัวนี่ไม่ใช่เรื่องตลกขำๆแล้วนะ มัลดีฟส์จะเอาจริงแล้ว…","GraphKoko",0,214,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427428874285057,"Wake Up Mr West",-1,"2021-04-17 14:29:36","None",160,"Thu Apr 24 22:31:35 +0000 2014","None",2462304828,"None","RT @CelestineBee: 9/11 was an inside job Man did not land on the moon  Evolution theory is BS  Vaccines are not safe  Taxation IS theft All…","capaco21",0,148,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427428874285057,"Wake Up Mr West",-1,"2021-04-17 14:29:36","None",160,"Thu Apr 24 22:31:35 +0000 2014","None",2462304828,"None","RT @CelestineBee: 9/11 was an inside job Man did not land on the moon  Evolution theory is BS  Vaccines are not safe  Taxation IS theft All…","capaco21",0,148,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427429012631559,"Risky Liberal",-1,"2021-04-17 14:29:36","None",4646,"Tue Oct 09 02:01:48 +0000 2012","Progressive Kentucky",869049313,"None","RT @jewish_worker: If you were to drop a bomb on this event, you would single-handedly wipe out 9/10ths of all vaccine misinformation.","RiskyLiberal",0,17020,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427422884745228,"скйлер",-1,"2021-04-17 14:29:35","None",29,"Wed Mar 27 14:47:50 +0000 2019","None",1110916342905921537,"None","RT @MaxNordau: “From the start, Gov. Ron DeSantis prioritized protecting seniors, and early in the vaccination effort he disregarded federa…","Skyl3r26",0,104,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427422884745228,"скйлер",-1,"2021-04-17 14:29:35","None",29,"Wed Mar 27 14:47:50 +0000 2019","None",1110916342905921537,"None","RT @MaxNordau: “From the start, Gov. Ron DeSantis prioritized protecting seniors, and early in the vaccination effort he disregarded federa…","Skyl3r26",0,104,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427423010582530,"One Dish One Mic Radio - Saturdays from 10am-Noon",599632780,"2021-04-17 14:29:35","None",1813,"Tue Apr 04 22:16:35 +0000 2017","Niagara, Ontario",849385235557089282,"None","@KathyBell9, @NRPublicHealth$q$s Associate Director of the Pandemic Response Division joins us at 10:30 am EST to talk about Indigenous Vaccination Clinics  https://t.co/zx3T8vGDNa","OneDishOneMic",0,3708,-1,0,"None","None","JS Listener","None","KathyBell9","vaccine ",1
1383427424545755136,"Balasubramanian S",-1,"2021-04-17 14:29:35","None",23,"Sat Aug 26 16:47:14 +0000 2017","Mumbai, India",901486201361711105,"None","Madam @asmaheswaricbe please make a point to say that 39 TN MPs have a great responsibility to ask central govt for vaccination campaign speed. It is the opposition which laughed at Indian vaccinated new and now complain about not having sufficient quantity.. All must support🙏💐","balamtnl",0,14,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427425002868739,"struggler",-1,"2021-04-17 14:29:35","None",918,"Fri Mar 13 03:57:21 +0000 2020","None",1238313122181582848,"None","RT @Zizezkianism: Pfizer and Moderna are not keen to bring the vaccine to India because of low profit margins and India$q$s refusal to shield…","damgeorge640",0,97,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427418245853190,"Dianne Brown",-1,"2021-04-17 14:29:34","None",596,"Wed Mar 09 01:51:21 +0000 2011","Mississauga",262935665,"None","RT @AndyDavidCIA: @theJagmeetSingh It wasn’t just vaccines. Sure they would help. Australia and New Zealand did it with a #CovidZero plan.…","chessawessa",0,350,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427418937905157,"Katie 🎯☕🥯✌️🥨🌈🦋⚾💉",-1,"2021-04-17 14:29:34","None",133,"Fri Feb 07 02:11:57 +0000 2020","Pennsylvania, USA ",1225603002402328578,"None","RT @PhillyMayor: In addition partnering with vaccine providers to set up clinics, the City is running mass vaccine clinics that can vaccina…","katniss018",0,29,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427421140000775,"MAGAS AND REPUBLICANS ARE GARBAGE 🇺🇸 🇺🇸 🇺🇸",-1,"2021-04-17 14:29:34","None",818,"Sat Nov 14 16:12:47 +0000 2020","None",1327645601962536961,"None","RT @labyrinthweaver: Did you get your vaccine yet? If you did, I would love to Twitter follow you 🙏🏽","IDrinkMAGATEARS",0,154,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427417725833219,"ini-obong ❤️",-1,"2021-04-17 14:29:33","None",1237,"Wed Jun 19 12:03:51 +0000 2019","Nigeria",1141315656580833280,"None","RT @aproko_doctor: When you get side effects after getting vaccinated, it means the vaccine 💉 is working, and your immune system is doing w…","inigeorge0",0,1835,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427417599975424,"Paresh",1017402014744154112,"2021-04-17 14:29:33","None",1621,"Fri Jun 26 09:20:06 +0000 2009","Incredible India!",50989414,"None","@BhramarBioStat Waiving of the  IPR for the vaccines sought by India/South Africa has regretfully not been acted upon. It is imperative that this is done to  prevent avoidable  deaths across the world. words without action smacks of hypocrisy and they want cooperation on climate change !","ps62",0,254,1383420735419416581,0,"None","None","JS Listener","None","BhramarBioStat","vaccine ",1
1383427417599975424,"Paresh",1017402014744154112,"2021-04-17 14:29:33","None",1621,"Fri Jun 26 09:20:06 +0000 2009","Incredible India!",50989414,"None","@BhramarBioStat Waiving of the  IPR for the vaccines sought by India/South Africa has regretfully not been acted upon. It is imperative that this is done to  prevent avoidable  deaths across the world. words without action smacks of hypocrisy and they want cooperation on climate change !","ps62",0,254,1383420735419416581,0,"None","None","JS Listener","None","BhramarBioStat","vaccine ",1
1383427417599975424,"Paresh",1017402014744154112,"2021-04-17 14:29:33","None",1621,"Fri Jun 26 09:20:06 +0000 2009","Incredible India!",50989414,"None","@BhramarBioStat Waiving of the  IPR for the vaccines sought by India/South Africa has regretfully not been acted upon. It is imperative that this is done to  prevent avoidable  deaths across the world. words without action smacks of hypocrisy and they want cooperation on climate change !","ps62",0,254,1383420735419416581,0,"None","None","JS Listener","None","BhramarBioStat","vaccine ",1
1383427417599975424,"Paresh",1017402014744154112,"2021-04-17 14:29:33","None",1621,"Fri Jun 26 09:20:06 +0000 2009","Incredible India!",50989414,"None","@BhramarBioStat Waiving of the  IPR for the vaccines sought by India/South Africa has regretfully not been acted upon. It is imperative that this is done to  prevent avoidable  deaths across the world. words without action smacks of hypocrisy and they want cooperation on climate change !","ps62",0,254,1383420735419416581,0,"None","None","JS Listener","None","BhramarBioStat","vaccine ",1
1383427413955076100,"ปรบมือแปะๆ.",-1,"2021-04-17 14:29:32","None",199,"Sat Nov 17 11:35:29 +0000 2012","None",953412937,"None","RT @bongtao: ไอเดียเรื่อง vaccine tourism คือไปเที่ยวต่างประเทศแล้วได้ฉีดวัคซีนไปด้วยในตัวนี่ไม่ใช่เรื่องตลกขำๆแล้วนะ มัลดีฟส์จะเอาจริงแล้ว…","koonDB",0,150,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427407453966336,"ChrisFarleyRatcliffe (he/him)",-1,"2021-04-17 14:29:31","None",2130,"Sat Nov 07 20:13:12 +0000 2009","Ottawa (Algonquin Territory)",88261162,"None","RT @judyatrinh: Four pop up vaccine clinics start operating today in  hard-hit communities. Anyone 50 and above living in 21 Ottawa Public…","DadGoesRound",0,2079,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427407453966336,"ChrisFarleyRatcliffe (he/him)",-1,"2021-04-17 14:29:31","None",2130,"Sat Nov 07 20:13:12 +0000 2009","Ottawa (Algonquin Territory)",88261162,"None","RT @judyatrinh: Four pop up vaccine clinics start operating today in  hard-hit communities. Anyone 50 and above living in 21 Ottawa Public…","DadGoesRound",0,2079,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427408020205581,"André Barker",-1,"2021-04-17 14:29:31","None",134,"Wed Feb 17 20:12:05 +0000 2016","Cape Town",4925056851,"None","RT @MariskaSchalek1: The fact that gates, zuckerberg, dorsey etc., even have a SAY in vaccines should terrify you.   Not because they know…","bakermanbooks",0,755,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427408448032774,"AAP TELANGANA",-1,"2021-04-17 14:29:31","None",886,"Wed Apr 17 04:22:37 +0000 2013","Hyderabad, Telangana, India",1358545946,"None","RT @attorneybharti: This will further discourage people from taking Corona Vaccines. Very unfortunate that vaccinated doctors have fallen p…","AAPTELANGANA",0,7455,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427401749729285,"Lorraine Lam",-1,"2021-04-17 14:29:30","None",209,"Wed Oct 29 21:41:25 +0000 2014","toronto",2850475991,"None","also are police going to get paid overtime now cuz they’ll be increasing surveillance that money comes from somewhere right? money we could have used for improved vaccine distribution, medical supports, improved transit, resources, housing... y’know money they said wasn’t there.","lorrainelamchop",0,1247,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427404463435786,"Southern Mama",-1,"2021-04-17 14:29:30","None",1584,"Wed Jun 30 06:45:10 +0000 2010","Murfreesboro, TN ",161197560,"None","RT @FreedomIsrael_: Is there a link between #COVID vaccinations and new cases? https://t.co/gk75YaFa2X","mariekemph",0,1347,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427405570711557,"Brandon Bounds",-1,"2021-04-17 14:29:30","None",1841,"Mon Aug 31 22:11:18 +0000 2015","Columbus, OH",3506011221,"None","Scheduled my appointment to get my vaccine.  Immediately remembers my fear of needles","brandonbounds_",0,1234,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427405570711557,"Brandon Bounds",-1,"2021-04-17 14:29:30","None",1841,"Mon Aug 31 22:11:18 +0000 2015","Columbus, OH",3506011221,"None","Scheduled my appointment to get my vaccine.  Immediately remembers my fear of needles","brandonbounds_",0,1234,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427397723115524,"Rahul Gowda",-1,"2021-04-17 14:29:29","None",5,"Tue Sep 22 02:24:22 +0000 2020","None",1308230589552623617,"None","RT @dhruv_jatti: My statement in today’s newspaper on the importance of vaccinating students and on the cancellation of examinations.","RahulGo45370921",0,0,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427400332038148,"Brenda Spinella",-1,"2021-04-17 14:29:29","None",639,"Thu Dec 03 11:49:01 +0000 2020","Sebring, FL",1334464493146042374,"None","Even though you get the vaccine .You can$q$t relax😌.stay safe .So sorry for your loss. 🙏💔😢💗💗😷🇺🇸","BrendaSpinella4",0,305,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427393327550477,"Jamie Gates",-1,"2021-04-17 14:29:28","None",1873,"Thu Nov 20 16:28:56 +0000 2008","Conway, AR",17514798,"None","RT @FireConway: Spread the word! Walk-ins are welcome until 2:45 at our COVID vaccine clinic at the Don Owen’s center. It is 1st and 2nd do…","chambergates",0,2559,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427396351586308,"Jefferson Prescott",-1,"2021-04-17 14:29:28","None",663,"Mon Jul 22 01:42:40 +0000 2019","Denver/Philadelphia ",1153118129322713089,"None","RT @KniechAtLarge: CLÍNICA GRATUITA DE VACUNACIÓN COVID-19 /// FREE COVID-19 VACCINE CLINIC .@LuckyDistrict7 and @CouncilmanPaul6 are hosti…","JPStrategiesCO",0,479,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427396104122370,"Julie Carey 🇬🇧🇬🇧",-1,"2021-04-17 14:29:28","None",310,"Fri Nov 05 16:32:29 +0000 2010","uk",212273141,"None","RT @CelestineBee: 9/11 was an inside job Man did not land on the moon  Evolution theory is BS  Vaccines are not safe  Taxation IS theft All…","Julie34479",0,1701,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427396104122370,"Julie Carey 🇬🇧🇬🇧",-1,"2021-04-17 14:29:28","None",310,"Fri Nov 05 16:32:29 +0000 2010","uk",212273141,"None","RT @CelestineBee: 9/11 was an inside job Man did not land on the moon  Evolution theory is BS  Vaccines are not safe  Taxation IS theft All…","Julie34479",0,1701,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427397219864579,"Tony Wight",-1,"2021-04-17 14:29:28","None",555,"Tue Jun 21 05:52:54 +0000 2011","Albuquerque NM",321207820,"None","RT @gilliantett: Great @TimHarford column on why we are nuts to worry about COVID vaccines..given all the other risks out there...so true.…","wighta",0,58,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427391448440845,"Bob Smithers",6433472,"2021-04-17 14:29:27","None",9,"Mon Sep 03 22:58:04 +0000 2018","None",1036750198574182401,"None","@CBCNews This is ALL ON TRUDEAU - we have NO VACCINES!!! He wasted 2 months waiting on ONE vaccine from CHINA that FAILED, came to negotiations LATE, NOW we have FEW vaccines. It’s a TRUDEAU MADE DISASTER as Jake Tapper CNN EXPOSES (Canadian MEDIA hides it)","BobSmithers16",0,74,1383404965960372244,0,"None","None","JS Listener","None","CBCNews","vaccine ",1
1383427384997605376,"Middle Molly: Fully vaccinated plus SIX weeks!",48325671,"2021-04-17 14:29:26","None",16721,"Sun Jan 30 05:42:00 +0000 2011","Chicago, IL",244813279,"None","@chipfranklin Of course! Getting the vaccine is very freeing even though we still take precautions, wear masks, don$q$t go into crowds, etc. Minimal side effects; not sure why anyone WOULDN$q$T get a jab unless they have serious health problems.","MiddleMolly",0,15206,1382089468103041025,0,"None","None","JS Listener","None","chipfranklin","vaccine ",1
1383427384997605376,"Middle Molly: Fully vaccinated plus SIX weeks!",48325671,"2021-04-17 14:29:26","None",16721,"Sun Jan 30 05:42:00 +0000 2011","Chicago, IL",244813279,"None","@chipfranklin Of course! Getting the vaccine is very freeing even though we still take precautions, wear masks, don$q$t go into crowds, etc. Minimal side effects; not sure why anyone WOULDN$q$T get a jab unless they have serious health problems.","MiddleMolly",0,15206,1382089468103041025,0,"None","None","JS Listener","None","chipfranklin","vaccine ",1
1383427388709634049,"bimal Kumar",-1,"2021-04-17 14:29:26","None",5668,"Wed Mar 22 16:31:51 +0000 2017","Guwahati, India",844587436051255297,"None","RT @rajeshpadmar: RSS Swayamsevaks joined in $q$Corona Vaccination Awareness Campaign$q$ at Bhopal, other parts of Madhya Pradesh. https://t.co…","IChhawchhari",0,6075,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427383202516997,"Stand For Better",-1,"2021-04-17 14:29:25","None",20721,"Tue Jul 07 10:51:24 +0000 2020","United States of America",1280454331410440192,"None","RT @joncoopertweets: Who’d like to see walk-in Covid vaccination clinics where you live — with no appointments needed?","StandForBetter",0,23999,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427377414377476,"🔥Krysta Kugis💧#HowDareThey🔥",-1,"2021-04-17 14:29:24","None",4883,"Fri Jul 19 00:20:41 +0000 2013","Victoria, Australia💧",1604683951,"None","RT @JustinTrudeau: Update: We’ve signed an agreement with Pfizer for an additional 8 million doses of their COVID-19 vaccine. This means we…","Isganaitis",0,2079,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427377313685504,"suraj kumar gupta",471741741,"2021-04-17 14:29:24","None",2167,"Sat Feb 06 20:48:03 +0000 2010","Gurgaon",111978701,"None","@PMOIndia @AmitShah We should try to apply chinese model to prevent spread of Covid in India .Else it will be impossible to stop. After some time - India will need a miracle to stop the spread.  Do the vaccination programme at war level - no choice apart from it.@drharshvardhan","Real_SurajGupta",0,153,-1,0,"None","None","JS Listener","Central Region, Singapore","PMOIndia","vaccine ",1
1383427377603043340,"Karlis Zivtins",855082102093754368,"2021-04-17 14:29:24","None",43,"Thu Dec 31 20:29:46 +0000 2009","Milton Keynes",100839038,"None","@ThatRyanChap @fact_covid $q$It is very, very important for everybody to understand, that the reduction in these numbers, in hospitalisations, in deaths, in infections, has not been achieved because of the vaccination programme.$q$ -Boris I just don$q$t know what to believe anymore...","k_zivtins",0,19,1383390931097853955,0,"None","None","JS Listener","None","ThatRyanChap","vaccine ",1
1383427378358063109,"Benjamin Hansen",16502051,"2021-04-17 14:29:24","None",1178,"Fri May 07 02:54:22 +0000 2010","New York City, Eugene OR, Massachusetts",141061981,"None","@cdsinclair @OHAOregon Maybe, can the new case growth actually catch up to the vaccination growth though (which is growing at whatever vaccinations were 3 weeks ago for 80 percent efficacy, and 6 weeks ago for 95 percent).  We$q$re now at 150,000+ new doses a week.","benconomics",0,5162,1383411086339166208,0,"None","None","JS Listener","None","cdsinclair","vaccine ",1
1383427379943542789,"NCDC",-1,"2021-04-17 14:29:24","None",384,"Fri Mar 04 10:02:09 +0000 2016","Abuja, Nigeria",705694814612938752,"None","RT @NphcdaNG: COVID-19 vaccination is especially important for people with underlying medical conditions such as heart disease, lung diseas…","NCDCgov",0,1191315,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427372427317251,"WascullwyDemocwat",-1,"2021-04-17 14:29:23","None",6083,"Fri Feb 10 00:19:52 +0000 2017","None",829847315812855809,"None","RT @labyrinthweaver: Did you get your vaccine yet? If you did, I would love to Twitter follow you 🙏🏽","AKAKAnder",0,5609,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427375405277187,"Sergeant Linky",-1,"2021-04-17 14:29:23","None",305,"Thu Aug 06 23:59:20 +0000 2020","None",1291524257718112257,"None","RT @MarketWatch: Don’t laminate your COVID vaccination card before doing these 5 things https://t.co/yK6RvYq9fH","Linky_Marine",0,63,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427375510130692,"Kimberly Holt Brown",-1,"2021-04-17 14:29:23","None",137,"Mon Feb 07 21:16:23 +0000 2011","Somewhere in Canada",248849011,"None","RT @Cool2bCorgi: @deepgreendesign @Shawn554842221 @fordnation New Zealand eradicated the virus without a single vaccine. Good leadership an…","mskimholt",0,36,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427368539156487,"Simon",3794759656,"2021-04-17 14:29:22","None",441,"Sun Sep 27 16:44:36 +0000 2015","England, United Kingdom",3794759656,"None","@PenaltyKickStat @jburnmurdoch @goalprojection AFAICT this is the best estimate of vaccine supply we have, along with ratios expected for 1st &amp; 2nd doses given the max interval of 12wks between doses  https://t.co/oMBl4BB36x","analytic_footy",0,2602,1383426750537867274,0,"None","None","JS Listener","None","analytic_footy","vaccine ",1
1383427369260617740,"... s ı d ɐ ... ʕ•ﻌ•ʔ | 🦁 x 🐱 |",-1,"2021-04-17 14:29:22","None",953,"Sun Feb 20 16:03:23 +0000 2011","None",255063860,"None","RT @bongtao: ไอเดียเรื่อง vaccine tourism คือไปเที่ยวต่างประเทศแล้วได้ฉีดวัคซีนไปด้วยในตัวนี่ไม่ใช่เรื่องตลกขำๆแล้วนะ มัลดีฟส์จะเอาจริงแล้ว…","FlowerRya",0,380,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427370300821509,"myrmyr",-1,"2021-04-17 14:29:22","None",381,"Wed Feb 29 07:01:27 +0000 2012","Kuala Lumpur | Bintulu",508502094,"None","RT @_Acat_: Semua dah dapat vaccine, takde restrictions for them to travel. Boleh gather ramai-ramai dengan sanak saudara semua vaccinated.…","mmyrza2",0,298,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427371395547151,"ubikayu",-1,"2021-04-17 14:29:22","None",273,"Sun Apr 12 10:48:30 +0000 2020","None",1249288117812490240,"None","RT @_Acat_: Semua dah dapat vaccine, takde restrictions for them to travel. Boleh gather ramai-ramai dengan sanak saudara semua vaccinated.…","emasterlarang",0,6,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427371840139272,"Barı​ş Kesgin",-1,"2021-04-17 14:29:22","None",818,"Wed Feb 25 01:16:56 +0000 2015","North Carolina",3060396555,"None","RT @ckim_stokes: @Elon_PA is giving back today with 2nd dose COVID vaccine clinic #takeyourshot @elonuniversity https://t.co/cLkPHCquuB","baris_kesgin",0,1158,-1,0,"None","None","JS Listener","None","None","vaccine ",1
